Fecha,Puno,Granja Salcedo,Los Uros,Rincon de la Cruz,Mañazo,Umayo,Illpa,Capachica,Cabanillas,Lagunillas,Santa Lucia,Juliaca,Isla Taquile,Los Rosales
1981-12-31,789.1743176827227,789.1743176827227,882.0798574036065,829.301690086664,728.4442294224793,670.4578165166889,706.398661479811,979.1428041503636,643.152556092225,736.9284108509095,737.2447359776801,1000.0317756482266,1229.3889984616333,668.5057889798088
1982-12-31,729.6225526895519,729.6225526895519,726.9780682602627,697.4765367129985,632.7547359198422,586.5109120703889,573.4615937311498,778.5395517506568,544.428353735264,688.1066570276628,659.3419192990057,819.3647073140089,980.8795037446579,601.2895533094811
1983-12-31,369.36937024044437,369.36937024044437,419.1564793547161,392.9811026446837,286.3709414178195,291.8153459252294,323.96166531993845,436.7148889503547,214.10856787550637,257.2296818114832,256.3869112813228,391.6524690396004,573.8693210894962,261.7766378847891
1984-12-31,1133.0768902996638,1133.0768902996638,1115.1245403540177,1082.640075744795,1000.9131002877642,964.2951527416017,934.0867350848657,1185.3801766810352,926.3533130051842,1049.0764210136347,1060.68012155017,1342.500061108476,1425.168798241988,949.2333362267327
1985-12-31,1011.578204983622,1011.578204983622,1060.175508025592,987.4293723143676,878.7309320846866,895.7356619343889,865.8514353417748,1151.015885067038,831.8825891965403,796.71915794634,847.674250315376,1209.1239392285331,1386.1183840276797,864.7565702596823
1986-12-31,928.890344875665,928.890344875665,1001.9621462343141,974.4932763521414,891.8890121016374,772.53886492698,830.3979959712499,1141.969284341998,818.9505975644195,823.1352171578496,850.4025029448777,1122.1963276859574,1348.0199292350758,791.4970551847067
1987-12-31,575.0254882410263,575.0254882410263,570.5138217573367,569.9771893328184,495.44552960619444,486.3479322964972,458.4846729937201,537.7525989845614,504.9799015170546,422.84138536244933,428.73441097177056,708.3986591793293,761.8614168504579,466.42500054061975
1988-12-31,771.9557669581948,771.9557669581948,816.0222128069872,790.2799835398633,673.3703058950512,628.9133978559144,665.7507251354746,885.5863010140154,738.0133511108047,638.1278816211675,660.2036767420684,820.7843385272272,1072.3068329221944,583.5526634220082
1989-12-31,652.9932151296734,652.9932151296734,685.2025873422062,616.8920543862555,557.6098322020812,520.9347626195668,559.3740841569488,850.0283846264159,528.5563526823248,457.86225558457573,496.2394948370379,711.0951512048161,862.9799408402123,498.50618229734937
1990-12-31,610.9851485229385,610.9851485229385,658.781878190651,646.8879144565176,589.2234861379342,551.6029531921849,528.5359872808367,760.4338363535635,621.3101939939193,557.1227162137211,543.3790298102263,841.8438078076097,879.4974729071143,575.206203598568
1991-12-31,595.4425350537749,595.4425350537749,674.807197781389,563.1774400683654,574.5431781055908,533.1702407599166,585.7145040005512,787.7703542811619,592.0087086531477,511.1460232072208,538.3217618107631,768.0781173624998,873.2317679830679,516.5895604306479
1992-12-31,414.9026118073264,414.9026118073264,501.39738633791217,486.8412705235523,410.80273055859783,403.9169084977285,415.4879951060974,630.915307899332,399.4625165040576,371.49847495609015,371.9966058035421,649.9078541301944,706.5197912806527,409.80895065845266
1993-12-31,733.6861257843141,733.6861257843141,785.5634220094828,695.2470816652001,716.506934091874,635.7538665172578,624.4433761741448,916.3798647458523,695.9769261105552,704.4871474824758,709.3747767935241,964.2905388789422,1022.4274523494803,663.187559602824
1994-12-31,764.1402787677949,764.1402787677949,832.8324360475369,674.6849030367825,757.0319848552801,644.0720335133376,684.776453029382,1026.0609634905054,665.5356181749953,730.6061119269445,740.263597443703,907.1149644529737,1009.5348885542472,660.6795225677228
1995-12-31,535.7918893997108,535.7918893997108,590.624905405603,634.8805220410941,484.86772347977853,441.64449731899504,467.7919818168212,652.304023376724,415.82095836716746,524.2055192634025,526.6311484733792,653.0431377041491,760.3185577769113,444.1358606150078
1996-12-31,733.8954823030911,733.8954823030911,678.2917039597869,753.6949045759335,682.6966244566019,624.3745432239515,566.1953017031512,655.6248815007406,629.0981160257113,628.7058301416605,621.1588857526456,841.6233235883162,736.6643007849583,642.7148617329649
1997-12-31,881.8902254729975,881.8902254729975,880.1679913459188,836.1956971330364,787.3368398924572,754.2293628680818,720.0608884111552,907.1423224917893,887.3496487365555,675.878611122515,729.7762406658067,1047.7208722096266,1060.8887540727255,725.0579271598941
1998-12-31,589.8507343172106,589.8507343172106,544.3023324661754,488.8227637097186,533.1092536374665,485.6160923672736,460.65142371333195,517.8520555223981,572.6949228244965,523.6755081397603,543.6431862239026,665.8768961492245,669.9507596136311,488.89617003382716
1999-12-31,952.4269526707461,952.4269526707461,893.5463117998481,852.8611123634677,746.3014476166711,679.1265587335715,705.5306147332958,954.3098852740666,653.4457752170119,753.9085461523465,770.2716442596497,805.6024874688815,1165.6849069519044,711.9440337401571
2000-12-31,730.212548929557,730.212548929557,711.1029667451097,702.5034844900649,638.2653430646615,597.2709663041469,580.3626578085375,695.3267195581941,775.3640560660841,648.992565573491,681.1090963359272,851.1249051255418,873.2481903774305,609.9618430211951
2001-12-31,985.5038521112172,985.5038521112172,962.309252617704,945.1657789965573,962.5393895050505,776.6189893417588,755.4881245211295,957.033470615219,790.6628315495389,749.0237343803622,783.8087606322601,939.8267286361572,1309.1687365074895,843.6375763722233
2002-12-31,898.1501752397563,898.1501752397563,914.9724717972796,881.8295707937402,732.7291285346272,781.3135018468074,797.9656437774001,1003.6554329437608,895.0459703240373,782.3803276529944,806.3104708556857,1084.1959851632755,1323.2496962462278,721.3040089100368
2003-12-31,674.4541144610882,674.4541144610882,738.65068962783,696.7014939956101,573.2857133398221,576.0110906122308,603.108711572846,831.8701470480787,619.4764636254573,596.100657460419,616.768950308664,888.6173347573173,974.6416751608435,523.7592660799457
2004-12-31,640.964965148402,640.964965148402,670.1323319687557,642.8571353031646,570.6799602651524,512.7178619929182,523.2390074605428,748.9011457019575,541.4793008490298,569.5657010903217,568.5134398186469,780.0991463564205,954.4084567069845,519.3374982664245
2005-12-31,655.2268296374625,655.2268296374625,656.8429325811774,650.0161059751025,606.6732642575805,593.9239430133653,593.5867680466617,719.1032592104812,619.1477650370128,596.4617505377288,601.6617912684469,855.4299686313477,952.9265216646286,578.2395191083394
2006-12-31,751.2170779774027,751.2170779774027,727.0157306753124,728.5966564845176,658.2739488796045,634.8122265524669,602.3739649487784,711.4292048422204,723.552750518309,732.321593485049,734.7613983361775,886.1066201491564,944.6894718472084,598.8195498400195
2007-12-31,724.401811498185,724.401811498185,697.4283201460582,761.5926611897331,724.0183453600032,643.2961773736561,598.9216256962745,641.1890921200027,740.1491807672287,629.1072984580676,687.0626564406248,912.4118538644234,1060.4740481434887,617.7587093820462
2008-12-31,627.6326088604933,627.6326088604933,640.9600178463947,649.2136087760539,588.1128100747511,527.0341144098049,538.9966440240862,659.4601702770588,557.5103971041023,552.441912805793,545.3331273149107,790.6418030866964,613.4588751900794,524.6964372032737
2009-12-31,711.2125513987675,711.2125513987675,659.5075064691314,680.6750348175642,601.6469664538386,609.5821687606781,552.6029728842041,604.8190750591433,588.8049788149382,572.4016512303115,606.1830156402857,798.2023348703151,771.7964844346507,578.02639815258
2010-12-31,585.8921622469891,585.8921622469891,622.197573304187,642.9369940146853,576.3740473175426,501.7431436737665,497.61346961348056,669.1458287610391,609.0023505339374,625.4375735027324,626.0242641824799,692.2876934178473,807.0962189284508,515.1470066281013
2011-12-31,759.6440822334482,759.6440822334482,743.3880787743882,854.4752458342994,735.364590572041,661.8155653816802,623.010788716979,765.71543446609,725.5701140182755,697.6220743988587,737.5704222240491,872.9086232674031,1042.7942552230832,674.7587923361002
2012-12-31,932.4903625012344,932.4903625012344,907.5573260992635,964.1532429449668,894.3239212254932,781.8224188908032,716.2885358615962,849.3562936938276,836.4765339395689,894.145650611592,928.899741452741,1032.0221000563101,1098.8788418855893,802.6918659730682
2013-12-31,750.3181654011478,750.3181654011478,814.3758182591146,760.1804452209718,698.174726090097,655.7021012203359,642.1931297342142,883.4651217975764,672.932246203941,662.0030156964832,675.3969937055596,908.7107754888414,1123.491731025231,668.0572321232354
2014-12-31,551.2037741918434,551.2037741918434,583.072166863727,599.0051933591868,517.392228229427,464.3413993420477,475.90836697401255,631.5430507500653,566.1906552818352,486.944757843081,499.3719622583135,728.795868564338,760.8387600731714,470.35289685581984
2015-12-31,724.1526239765961,724.1526239765961,820.8615630977346,815.4425645438449,642.1817937027829,602.9051298283935,615.3805047556888,807.4703577582515,707.7056231719375,617.327741368622,636.8944246869233,853.3117851778966,988.2651330278562,595.048482592639
2016-12-31,597.5693071061171,597.5693071061171,603.9836931096123,532.3427338848463,432.00279095244457,494.28230731324675,527.4668613486244,626.6258357536383,534.7848020829686,462.1393778824652,487.22656859949166,725.6157556593537,849.2743976776921,445.41124068006025
2017-12-31,762.938904687162,762.938904687162,787.4456973643275,817.4865388988842,737.5445858358728,628.2629759065971,582.9771302912764,751.6063280012077,716.9776425272819,663.109306059363,725.9396373343216,762.3044557081931,962.5960205260685,666.5917559154628
2018-12-31,538.0683717973152,538.0683717973152,568.7402134411359,559.0427252463305,702.4921604028804,432.9974098676794,441.6507797465674,589.730584494726,508.42879129458845,495.15824230507064,508.21187343659403,594.9669479760269,780.1326014422116,431.0644443091551
2019-12-31,0.0,0.0,0.0,0.0,724.4000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-12-31,0.0,0.0,0.0,0.0,540.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
